date,code,close_price,volume,company
24/01/2001,MSFT,31.46875,110455000,Microsoft
25/01/2001,MSFT,30.90625,85657400,Microsoft
26/01/2001,MSFT,32,93080000,Microsoft
29/01/2001,MSFT,32.25,84983800,Microsoft
30/01/2001,MSFT,31.6875,57276800,Microsoft
31/01/2001,MSFT,30.53125,81898800,Microsoft
01/02/2001,MSFT,31.1875,71792800,Microsoft
02/02/2001,MSFT,30.40625,71100000,Microsoft
05/02/2001,MSFT,30.96875,51399200,Microsoft
06/02/2001,MSFT,31.28125,96442000,Microsoft
07/02/2001,MSFT,32.34375,126061800,Microsoft
08/02/2001,MSFT,31.125,88041200,Microsoft
09/02/2001,MSFT,29.5625,100575200,Microsoft
12/02/2001,MSFT,29.375,71289400,Microsoft
13/02/2001,MSFT,29.09375,76070600,Microsoft
14/02/2001,MSFT,29.1875,61728400,Microsoft
15/02/2001,MSFT,29.40625,65627800,Microsoft
16/02/2001,MSFT,28.65625,66958400,Microsoft
20/02/2001,MSFT,27.9375,60730800,Microsoft
21/02/2001,MSFT,28.125,63947200,Microsoft
22/02/2001,MSFT,27.59375,100816400,Microsoft
23/02/2001,MSFT,28.375,92620600,Microsoft
26/02/2001,MSFT,29.78125,87936800,Microsoft
27/02/2001,MSFT,29.6875,99148600,Microsoft
28/02/2001,MSFT,29.5,84608400,Microsoft
01/03/2001,MSFT,29.679649,81781600,Microsoft
02/03/2001,MSFT,28.34375,79800800,Microsoft
05/03/2001,MSFT,28.71875,49383600,Microsoft
06/03/2001,MSFT,29.71875,66781800,Microsoft
07/03/2001,MSFT,30.34375,59743600,Microsoft
08/03/2001,MSFT,29.625,54626000,Microsoft
09/03/2001,MSFT,28.34375,103794400,Microsoft
12/03/2001,MSFT,25.96875,114376000,Microsoft
13/03/2001,MSFT,27.09375,91035600,Microsoft
14/03/2001,MSFT,27,90686200,Microsoft
15/03/2001,MSFT,26.84375,71638400,Microsoft
16/03/2001,MSFT,27.28125,112848800,Microsoft
19/03/2001,MSFT,27.15625,61036400,Microsoft
20/03/2001,MSFT,26.34375,91822800,Microsoft
21/03/2001,MSFT,25.03125,124988600,Microsoft
22/03/2001,MSFT,27,126363200,Microsoft
23/03/2001,MSFT,28.28125,99519600,Microsoft
26/03/2001,MSFT,28.03125,63118600,Microsoft
27/03/2001,MSFT,29.125,95135600,Microsoft
28/03/2001,MSFT,27.78125,78681600,Microsoft
29/03/2001,MSFT,27.6875,86985000,Microsoft
30/03/2001,MSFT,27.34375,91201600,Microsoft
02/04/2001,MSFT,27.90625,75924000,Microsoft
03/04/2001,MSFT,26.6875,94187600,Microsoft
04/04/2001,MSFT,25.96875,104046600,Microsoft
05/04/2001,MSFT,28.375,113364000,Microsoft
06/04/2001,MSFT,28.09375,92622000,Microsoft
09/04/2001,MSFT,28.575001,56295600,Microsoft
10/04/2001,MSFT,29.84,109199400,Microsoft
11/04/2001,MSFT,30.02,109879600,Microsoft
12/04/2001,MSFT,31.09,87520000,Microsoft
16/04/2001,MSFT,30.395,65857400,Microsoft
17/04/2001,MSFT,30.74,85149200,Microsoft
18/04/2001,MSFT,32.715,156696400,Microsoft
19/04/2001,MSFT,34.02,159375600,Microsoft
20/04/2001,MSFT,34.5,192919600,Microsoft
23/04/2001,MSFT,34.125,92171200,Microsoft
24/04/2001,MSFT,33.775002,89176600,Microsoft
25/04/2001,MSFT,34.845001,76744000,Microsoft
26/04/2001,MSFT,34.564999,118737600,Microsoft
27/04/2001,MSFT,33.560001,121572400,Microsoft
30/04/2001,MSFT,33.875,74368200,Microsoft
01/05/2001,MSFT,35.084999,83702800,Microsoft
02/05/2001,MSFT,34.880001,92864400,Microsoft
03/05/2001,MSFT,34.264999,66273400,Microsoft
04/05/2001,MSFT,35.375,119538400,Microsoft
07/05/2001,MSFT,35.689999,109356200,Microsoft
08/05/2001,MSFT,36.029999,75084000,Microsoft
09/05/2001,MSFT,35.200001,76676600,Microsoft
10/05/2001,MSFT,35,64334600,Microsoft
11/05/2001,MSFT,34.700001,51128800,Microsoft
14/05/2001,MSFT,34.360001,44968000,Microsoft
15/05/2001,MSFT,34.134998,61385600,Microsoft
16/05/2001,MSFT,34.580002,91893800,Microsoft
17/05/2001,MSFT,34.084999,106984800,Microsoft
18/05/2001,MSFT,34.044998,90605400,Microsoft
21/05/2001,MSFT,34.395,103491600,Microsoft
22/05/2001,MSFT,35.154999,83455600,Microsoft
23/05/2001,MSFT,34.849998,93637400,Microsoft
24/05/2001,MSFT,35.860001,80781600,Microsoft
25/05/2001,MSFT,35.455002,52747600,Microsoft
29/05/2001,MSFT,35.169998,71210800,Microsoft
30/05/2001,MSFT,34.595001,86501800,Microsoft
31/05/2001,MSFT,34.59,70682600,Microsoft
01/06/2001,MSFT,35.169998,57587600,Microsoft
04/06/2001,MSFT,35.389999,43736600,Microsoft
05/06/2001,MSFT,36.299999,89454200,Microsoft
06/06/2001,MSFT,36.18,80022800,Microsoft
07/06/2001,MSFT,36.84,66960000,Microsoft
08/06/2001,MSFT,36.595001,51867000,Microsoft
11/06/2001,MSFT,36.060001,47345600,Microsoft
12/06/2001,MSFT,36.040001,66714600,Microsoft
13/06/2001,MSFT,35.345001,55302400,Microsoft
14/06/2001,MSFT,34.450001,71972400,Microsoft
15/06/2001,MSFT,34.009998,108354400,Microsoft
18/06/2001,MSFT,33.439999,56846800,Microsoft
19/06/2001,MSFT,33.66,63457400,Microsoft
